"","X","descr"
"1102",1118,"TO ADOPT DRAFT RESOLUTION II (A/7472) REQUESTING THE SECRETARY-GENERAL TO ESTABLISH A MINIMUM LINGUISTIC REQUIREMENT AT THE TIME OF RECRUITMENT OF U.N. PERSONNEL AND AS A REQUISITE FOR PROMOTION, WITH A VIEW TO ENSURING A LINGUISTIC BALANCE AMO"
"1103",1119,"TO ADOPT DRAFT RESOL. (A/L. 516/REV. 1) ESTABLISHING AN 11-MEMBER COUNCIL FOR SOUTH WEST AFRICA TO BE BASED IN SOUTH WEST AFRICA AND TO ADMINISTER THE TERRRITORY UNTIL INDEPENDENCE; ALSO REQUESTING THE SECURITY COUNCIL TO CONTACT AUTHORITIES OF"
"1104",1120,"TO RETAIN THE TITLE, \QUESTION OF KOREA\\, AND INCLUDE SUB-ITEM (C), \\""REPORT OF THE UNCURK\\"", IN THE AGENDA.\"""""
"1105",1121,"TO ADOPT DRAFT RESOL. (A/7736) CONDEMNING THE GOVERNMENT OF SOUTH AFRICA FOR ITS PERSISTENT REFUSAL TO WITHDRAW ITS ADMINISTRATION FROM NAMIBIA AND DRAWING THE ATTENTION OF THE SECURITY COUNCIL TO THE DETERIORATING SITUATION RESULTING FROM SOUT"
"1106",1122,"TO ADOPT DRAFT RESOLUTION (A/L. 567 AND ADD. 1-5) AFFIRMING AGAIN THE VALIDITY OF THE GENERAL ASSEMBLY'S 1961 DECISION THAT ANY PROPOSAL TO CHANGE THE REPRESENTATION OF CHINA IN THE UN IS AN \IMPORTANT QUESTION\\ REQUIRING A TWO-THIRDS MAJORITY"""
"1107",1123,"TO ADOPT DRAFT RESOLUTION (A/L. 569) DECIDING TO RECOGNIZE THE PEOPLE'S REPUBLIC OF CHINA REPRESENTATION AS THE ONLY LAWFUL REPRESENTATION OF CHINA TO THE UN AND TO EXPEL FORTHWITH THE CHIANG KAI SHEK REPRESENTATION FROM THE UN."
"1108",1124,"TO ADOPT THE GHANA MOTION THAT THE DEBATE ON WEST IRIAN (\SECRETARY-GENERAL'S REPORT REGARDING THE ACT OF SELF-DETERMINATION\\) BE ADJOURNED UNTIL THE FOLLOWING DAY.\"""""
"1109",1125,"TO ADOPT THE GHANA AMENDMENTS (A/L. 576) TO THE 6-POWER DRAFT RESOL. (A/L. 574) REGARDING WEST IRIAN."
"1110",1126,"TO ADOPT DRAFT RESOL. (A/L. 574) ACKNOWLEDGING THE FULFILLMENT OF THE TASKS ENTRUSTED TO THE SECRETARY-GENERAL AND HIS REPRESENTATIVE UNDER THE AGREEMENT OF 1962 BETWEEN INDONESIA AND THE NETHERLANDS, AND APPRECIATING ANY ASSISTANCE PROVIDED IN"
"1111",1127,"TO ADOPT DRAFT RESOL. (A/L. 575 & CORR. 1/ADD. 1) WELCOMING THE MANIFESTO ON SOUTH AFRICA AND REITERATING THE FIRM INTENTION OF THE UN, ACTING IN COOPERATION WITH THE OAU, TO INTENSIFY ITS EFFORTS TO SOLVE THE GRAVE SITUATION IN SOUTHERN RHODES"
"1112",1128,"TO ADOPT DRAFT RESOL. (A/7768) CONDEMNING PORTUGAL'S COLONIAL POLICY; CALLING UPON PORTUGAL TO APPLY THE PRINCIPLE OF SELF-DETERMINATION IN HER TERRITORIES; APPEALING TO ALL STATES, EXPECIALLY THOSE IN NATO, TO WITHHOLD ASSISTANCE TO PORTUGAL W"
"1113",1129,"TO ADOPT DRAFT RESOL. (A/7759) CALLING UPON THE UK TO TAKE EFFECTIVE MEASURES, INCLUDING THE USE OF FORCE, TO END THE ILLEGAL REGIME IN SOUTHERN RHODESIA AND FOR THE SECURITY COUNCIL TO WIDEN ITS SANCTIONS AGAINST THAT REGIME; CONDEMNING SOUTH"
"1114",1130,"TO ADOPT DRAFT RESOLUTION (A/7774) REAFFIRMING ASSEMBLY RESOLUTION 2298 (XXII) AND DECIDING TO MAINTAIN THE SEPARATE SECTION IN PART V OF THE UN BUDGET FOR THE NEEDS OF TECHNICAL ASSISTANCE IN INDUSTRIAL DEVELOPMENT"
"1115",1131,"TO ADOPT DRAFT RESOL. (A/7781) REAFFIRMING UN OBJECTIVES IN KOREA, REQUESTING THE UNCURK TO CONTINUE ITS WORK AND NOTING THAT THE GREATER PART OF THE UN FORCES HAVE ALREADY WITHDRAWN FROM KOREA."
"1116",1132,"TO ADOPT DRAFT RESOL. (A/7736/ADD. 1) CONDEMNING THE GOVERNMENT OF SOUTH AFRICA FOR, AND DRAWING THE SECURITY COUNCIL'S ATTENTION TO THE NEED FOR TAKING MEASURES TO DEAL WITH, THAT GOVERNMENT'S PERSISTENT REFUSAL TO WITHDRAW ITS ADMINISTRATION"
"1117",1133,"TO ADOPT DRAFT RESOL. (A/L. 572/REV. 1) APPROVING THE REPORT OF THE PREPARATORY COMMITTEE FOR THE 10TH ANNIVERSARY OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLES; REQUESTING THE SECRETARY-GENERAL TO TRANSMI"
"1118",1134,"TO ADOPT THE SOMALI MOTION (A/L. 584) THAT DRAFT RESOL. B RECOMMENDED BY THE SPECIAL POLITICAL COMMITTEE (A/7839, PARA. 13) DOES NOT COME UNDER THE CATEGORY OF \IMPORTANT QUESTIONS\\ REQUIRING A 2/3 MAJORITY FOR ADOPTION, BUT RATHER, COMES WITH"""
"1119",1135,"TO ADOPT DRAFT RESOL. B (A/7839) DRAWING SECURITY COUNCIL ATTENTION TO THE GRAVE SITUATION RESULTING FROM ISRAELI POLICIES IN OCCUPIED TERRITORIES AND REQUESTING THE SC TO TAKE EFFECTIVE MEASURES IN ACCORDANCE WITH RELEVANT PROVISIONS OF THE UN"
"1120",1136,"TO ADOPT DRAFT RESOL. C (A/7839) REAFFIRMING GENERAL ASSEMBLY HUMANITARIAN ASSISTANCE RESOLUTIONS 2252 (ES-V), 2341 B (XXII) AND 2452 C (XXIII) AND ENDORSING THE CONTINUED EFFORTS OF THE COMMISSIONER-GENERAL OF THE UNRWA TO ASSIST OTHER NEEDY P"
"1121",1137,"TO ADOPT DRAFT RESOL. (A/7826) EXPRESSING GRAVE CONCERN OVER CONTINUING REPORTS OF VIOLATIONS OF HUMAN RIGHTS IN TERRITORIES OCCUPIED BY ISRAEL AND URGENTLY CALLING UPON THE GOVERNMENT OF ISRAEL TO COMPLY WITH THE 1949 GENEVA CONVENTION, THE UN"
"1122",1138,"TO ADOPT OPERATIVE PARAG. 6 OF DRAFT RESOL. (A/7826) CALLING UPON THE UK TO RECONSIDER ITS REFUSAL TO INTERVENE IN SOUTHERN RHODESIA BY FORCE AND RESTORE FUNDAMENTAL FREEDOM AND THUS AMELIORATE CONDITIONS OF POLITICAL PRISONERS, DETAINEES AND C"
"1123",1139,"TO RETAIN THE WORD \NEO-NAZI\\ IN OPERATIVE PARAG. 2 OF DRAFT RESOL. (A/7820) ON MEASURES TO BE TAKEN AGAINST NAZISM AND RACIAL INTOLERANCE.\"""""
"1124",1140,"TO ADOPT DRAFT RESOLUTION (A/7874) REAFFIRMING THE INALIENABLE RIGHTS OF THE PEOPLE OF OMAN TO SELF-DETERMINATION, URGING THE UK TO IMPLEMENT FULLY ASSEMBLY RECOMMENDING THE SPECIALIZED AGENCIES AND OTHER INTERNATIONAL ORGANIZATIONS TO STUDY TH"
"1125",1141,"TO ADOPT OPERATIVE PARAG. 4 OF DRAFT RESOL. (A/7872 AND CORR. 1) DEEPLY DEPLORING THE PERSISTENT REFUSAL OF THE UK GOVERNMENT TO TRANSMIT SUCH INFORMATION ON ANTIGUA, DOMINICA, GRENADA, ST. KITTS-NEVIS-ANGUILLA AND ST. LUCIA UNDER ARTICLE 73E O"
"1126",1142,"TO ADOPT OPERATIVE PARAG. 5 OF DRAFT RESOL. (A/7872 AND CORR. 1) ON THE TRANSMISSION OF INFORMATION ON NON-SELF-GOVERNING TERRITORIES; THE PARAG. CONSIDERS THAT, IN ABSENCE OF AN ASSEMBLY DECISION THAT ST. VINCENT HAS ATTAINED SELF-GOVERNMENT W"
"1127",1143,"TO ADOPT DRAFT RESOL. (A/7872 & CORR. 1) CONDEMNING THE GOVERNMENT OF PORTUGAL AND DEEPLY DEPLORING THE ACTIONS OF THE UK GOVERNMENT, FOR THEIR REFUSAL TO TRANSMIT SUCH INFORMATION AS PRESCRIBED BY ARTICLE 73E OF THE CHARTER AND AGAIN URGING TH"
"1128",1144,"TO ADOPT DRAFT RESOL. (A/7858) CONDEMNING THE EXPLOITATION OF COLONIAL TERRITORIES AND REQUESTING THE ADMINISTERING POWERS TO PUT AN END TO ALL SUCH PRACTICES IMPEDING THE IMPLEMENTATION OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COL"
"1129",1145,"TO ADOPT DRAFT RESOL. (A/7871) APPEALING TO THE SPECIALIZED AGENCIES AND UN-ASSOCIATED INTERNATIONAL INSTITUTIONS FOR FULL COOPERATION, INCLUDING THE ESTABLISHMENT OF RELATIONS WITH THE OAU, TO ACHIEVE UN OBJECTIVES (WITH REGARD TO IMPLEMENTATI"
"1130",1146,"TO ADOPT DRAFT RESOL. (A/7834) DECLARING THAT, PENDING THE ESTABLISHMENT OF AN INTERNATIONAL REGIME, STATES AND PERSONS ARE BOUND TO REFRAIN FROM EXPLOITING THE RESOURCES OF OR LAYING CLAIMS TO ANY PART OF THE SEA-BED AND OCEAN FLOOR BEYOND THE"
"1131",1147,"TO ADOPT DRAFT RESOL. (A/7774 AND ADD. 1), AS AMENDED, SUGGESTING THAT A SPECIAL TOP LEVEL INTERNATIONAL CONFERENCE OF THE UNIDO BE HELD, BUT NOT IN THE SAME YEAR AS THE 3RD UNCTAD, AND REQUESTING THE INDUSTRIAL DEVELOPMENT BOARD TO MAKE THE NE"
"1132",1148,"TO ADOPT DRAFT RESOL. (A/7841) EXPRESSING APPRECIATION TO GOVERNMENTS, UN ORGANS, SPECIALIZED AGENCIES AND OTHER ORGANIZATIONS WHICH HAVE CONTRIBUTED TO THE OBSERVANCE OF INTERNATIONAL YEAR FOR HUMAN RIGHTS AND INVITING THEM TO CONTINUE TO GIVE"
"1133",1149,"TO ADOPT DRAFT RESOL. (A/7841) CALLING UPON ALL GOVERNMENTS TO ABIDE BY RELEVANT UN RESOLUTIONS REGARDING SELF-DETERMINATION, DECOLONIZATION AND TERRITORIAL INTEGRITY; NOTING THE EFFORTS OF THE SECURITY COUNCIL, AND THE SPECIAL COMMITTEE OF 24"
"1134",1150,"TO ADOPT DRAFT RESOL. (A/7840 AND CORR. 1) URGING THE ECONOMIC AND SOCIAL COUNCIL TO RECONSIDER ITS DECISION OF 8 AUGUST 1969 SUCH THAT THE COMMISSION ON THE STATUS OF WOMEN MAY CONTINUE TO MEET ANNUALLY, PREFERABLY 3 MONTHS AFTER THE GENERAL A"
"1135",1151,"TO DELETE THE WORDS \THE POSSIBILITY OF\\ IN OPERATIVE PARAG. 1 OF DRAFT RESOL. (A/7889) RE THE GIVING OF HIGHEST PRIORITY TO CONSIDERATION OF THE ITEM \\""CREATION OF THE POST OF UN HIGH COMMISSIONER FOR HUMAN RIGHTS\\"".\"""""
"1136",1152,"TO ADOPT DRAFT RESOL. (A/7889) DECIDING TO GIVE HIGHEST PRIORITY TO THE CONSIDERATION OF THE ITEM \CREATION OF THE POST OF UN HIGH COMMISSIONER FOR HUMAN RIGHTS\\ WITH A VIEW TO THE POSSIBILITY OF CONCLUDING SUCH CONSIDERATION AT THE 25TH REGUL"""
"1137",1153,"TO ADOPT DRAFT RESOL. (A/7896) AGAIN INVITING THE ADMINISTERING POWER CONCERNED TO DETERMINE PROCEDURES FOR HOLDING A REFERENDUM IN THE TERRITORY OF SPANISH SAHARA AND REQUESTING THE SECRETARY-GENERAL TO APPOINT AND SEND A SPECIAL MISSION TO SP"
"1138",1154,"TO ADOPT DRAFT RESOL. (A/7896) REITERATING THE DECLARATION AGAINST ANY DISRUPTION OF THE NATIONAL UNITY AND THE ESTABLISHMENT OF MILITARY BASES IN THE 25 TERRITORIES; STRONGLY URGING THAT THE ADMINISTERING POWERS ALLOW UN MISSIONS TO VISIT THE"
"1139",1155,"TO ADOPT THE DRAFT RESOL. (A/7896) DECIDING TO TRANSMIT, FOR THE CLOSE ATTENTION OF THE SPECIAL COMMITTEE OF 24, THE RECORDS OF THE FOURTH COMMITTEE COVERING THE DEBATE ON THE QUESTION OF THE SIX CARIBBEAN TERRITORIES, AND REQUESTING THE SPECIA"
"1140",1156,"TO ADOPT DRAFT RESOL. (A/7895) CALLING UPON THE ADMINISTERING POWER TO TRANSFER FULL EXECUTIVE AND LEGISLATIVE GOVERNMENTAL POWER TO THE ELECTED REPRESENTATIVES OF THE PEOPLES OF NEW GUINEA AND PAPUA; TO ACCELERATE THE EDUCATION AND TECHNICAL A"
"1141",1157,"TO ADOPT THE DRAFT RESOLUTION (A/7902) DECLARING THE 1970'S AS A DISARMAMENT DECADE; CALLING UPON ALL GOVERNMENTS TO INTENSIFY THEIR EFFORTS FOR A TREATY ON COMPLETE DISARMAMENT; REQUESTING THE CONFERENCE OF THE COMMITTEE ON DISARMAMENT TO CONT"
"1142",1158,"TO ADOPT DRAFT RESOLUTION (A/7890) DECLARING THE USE IN INTERNATIONAL ARMED CONFLICTS OF ANY CHEMICAL OR BIOLOGICAL AGENTS OF WARFARE AS CONTRARY TO GENERALLY RECOGNIZED RULES OF INTERNATIONAL LAW AS EMBODIED IN THE GENEVA PROTOCOL."
"1143",1159,"TO ADOPT THE DRAFT RESOLUTION (A/7887) RECOMMENDING THE IAEA AND VARIOUS INTERNATIONAL AND REGIONAL FINANCING INSTITUTIONS TO COOPERATE IN FINANCING MERITORIOUS NUCLEAR PROJECTS, AND REQUESTING THE SECRETARY-GENERAL TO REPORT ON THE PROGRESS IN"
"1144",1160,"TO ADOPT THE DRAFT RESOLUTION (A/7887) INVITING THE IAEA TO GIVE THE WIDEST EXCHANGE OF INFORMATION RE THE TECHNOLOGY OF PEACEFUL USES OF NUCLEAR EXPLOSIONS AND REQUESTING THE SECRETARY-GENERAL TO INCLUDE IN THE AGENDA OF THE 25TH REGULAR SESSI"
"1145",1161,"TO ADOPT THE MOTION FOR A PRIORITY OF VOTE ON THE DRAFT RESOLUTION CONCERNING MAURITIUS (A/L. 590)."
"1146",1162,"TO ADOPT THE SAUDI ARABIAN DRAFT RESOL. (A/6. 587/REV. 1) DECIDING THAT COMMEMORATIVE MEDALS BE STRUCK BEARING THE EMBLEM, \PEACE, JUSTICE AND PROGRESS\\ IN HONOR OF THE 25TH ANNIVERSARY OF THE UN; THAT STAMPS WITH THE THEME, \\""PEACE AND PROGRE"""
"1147",1163,"TO ADOPT DRAFT RESOLUTION (A/7916) REGARDING THE STUDY OF THE NATURE OF THE INCREASES IN THE LEVEL OF EXPENDITURES IN THE UN REGULAR BUDGET."
"1148",1164,"TO ADOPT THE PROPOSAL FOR THE INCLUSION OF SUB-ITEM (C), THE REPORT OF THE UNCURK - IN THE AGENDA (A/8100)."
"1149",1165,"TO RETAIN THE TITLE, \QUESTION OF KOREA\\ (A/8100).\"""""
"1150",1166,"TO ADOPT THE DRAFT RESOL. (A/8086) SETTING THE PROGRAM OF ACTION FOR THE FULL IMPLEMENTATION OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLES."
"1151",1167,"TO ADOPT OPERATIVE PARAG. 1 OF DRAFT RESOL. (A/8106) RE APARTHEID, SAID PARAGRAPH CALLING UPON ALL STATES TO TAKE IMMEDIATE STEPS TO IMPLEMENT FULLY THE PROVISIONS OF SECURITY COUNCIL RESOL. 282 (1970) CONCERNING THE STRENGTHENING OF THE ARMS E"
"1152",1168,"TO ADOPT THE DRAFT RESOL. (A/8106) CALLING UPON ALL STATES TO TAKE IMMEDIATE STEPS TO IMPLEMENT FULLY THE THE PROVISIONS OF SECURITY COUNCIL RESOL. 282 (1970) REGARDING THE STRENGTHENING OF THE ARMS EMBARGO AGAINST SOUTH AFRICA AND REQUESTING T"
"1153",1169,"TO ADOPT THE PORTUGUESE PROPOSAL FOR A SEPARATE ROLL CALL VOTE ON THE NEW PARAGRAPH 6 OF THE \DECLARATION ON THE OCCASION OF THE 25TH ANNIVERSARY OF THE UN\\ (A/8103/ADD.2).\"""""
"1154",1170,"TO ADOPT THE DRAFT RESOL. (A/L. 602/REV. 2 & ADD.1) AFFIRMING THAT ACQUISITION OF TERRITORIES BY FORCE IS INADMISSIBLE; THAT RESPECT FOR THE RIGHTS OF PALESTINIANS IS INDISPENSABLE IN ESTABLISHING PEACE (IN THE MIDDLE EAST); CALLING UPON PARTIE"
"1155",1171,"TO ADOPT THE DRAFT RESOL. (A/L. 604) REQUESTING THE PARTIES CONCERNED (IN THE MIDDLE EAST QUESTION) TO RESUME DISCUSSION WITH THE SECRETARY-GENERAL'S SPECIAL REPRESENTATIVE IN THE MIDDLE EAST; RECOMMENDING SCRUPULOUS OBSERVANCE AND EXTENSION OF"
"1156",1172,"TO ADOPT THE AMENDMENT (A/L. 608/REV.1) ADDING THE WORDS, \EXCEPT WITH REGARD TO THE CREDENTIALS OF THE REPRESENTATIVES OF THE GOVERNMENT OF SOUTH AFRICA\\, AT THE END OF DRAFT RESOL. (A/8142, PARA. 19) RE THE CREDENTIALS OF REPRESENTATIVES TO """
"1157",1173,"TO ADOPT THE DRAFT RESOL. (A/L.599 & ADD.1) AFFIRMING AGAIN THAT THE VALIDITY OF THE GENERAL ASSEMBLY'S 1961 DECISION THAT ANY PROPOSAL TO CHANGE THE REPRESENTATION OF CHINA IN THE UN IS AN \IMPORTANT QUESTION\\ (AND THEREFORE REQUIRING A 2/3 M"""
"1158",1174,"TO ADOPT THE DRAFT RESOL. (A/L.605) DECIDING TO RECOGNIZE THE PEOPLE'S REPUBLIC OF CHINA REPRESENTATIVES AS THE ONLY LAWFUL REPRESENTATIVES OF CHINA TO THE UN, AND TO EXPEL FORTHWITH CHIANG-KAI-SHEK'S REPRESENTATIVES FROM THE UN."
"1159",1175,"TO ADOPT DRAFT RESOL. (A/8163) CONDEMNING ALL FORMS OF RACIAL DISCRIMINATION AND REAFFIRMING INTENTION TO TAKE THE OPPORTUNITY OF \INTERNATIONAL YEAR FOR ACTION TO COMBAT RACISM\\ TO PROMOTE THROUGHOUT THE WORLD SOCIAL JUSTICE BASED ON ABSOLUTE"""
"1160",1176,"TO RETAIN THE WORDS, \AND PALESTINE\\, IN OPERATIVE PARAG. 5 OF DRAFT RESOL. (A/8163) RE THE IMPORTANCE OF THE UNIVERSAL REALIZATION OF SELF-DETERMINATION.\"""""
"1161",1177,"TO ADOPT THE DRAFT RESOL. (A/8188) CONDEMNING THE UK'S FAILURE TO END THE ILLEGAL REGIME IN SOUTHERN RHODESIA AND THE INTERVENTION OF SOUTH AFRICAN ARMED FORCES IN SOUTHERN RHODESIA AND THE INTERVENTION OF SOUTH AFRICAN ARMED FORCES IN SOUTHERN"
"1162",1178,"TO ADOPT OPERATIVE PARAG. 3 OF DRAFT RESOL. (A/8195) RE A UN CONFERENCE ON HUMAN ENVIRONMENT; SAID PARAGRAPH RECOMMENDS THAT THE PREPARATORY COMMITTEE FOR THE 1972 CONFERENCE CONSIDER FINANCING POSSIBLE ACTION TO ENSURE THAT ADDITIONAL RESOURCE"
"1163",1179,"TO ADOPT THE DRAFT RESOL. (A/8198) RECOMMENDING THE TREATY ON PROHIBITION OF EMPLACEMENT OF NUCLEAR WEAPONS AND OTHER WEAPONS OF MASS DESTRUCTION ON THE SEA-BED AND ... IN SUBSOIL THEREOF (TEXT ANNEXED); REQUESTING THE DEPOSITARY GOVERNMENTS TO"
"1164",1180,"TO ADOPT THE DRAFT RESOL. (A/8198) URGING GOVERNMENTS OF NUCLEAR-WEAPON POWERS TO BRING ABOUT AN IMMEDIATE HALT TO THE NUCLEAR ARMS RACE AND TO CEASE ALL TESTING AND DEPLOYMENT OF NUCLEAR-WEAPON SYSTEMS."
"1165",1181,"TO ADOPT THE DRAFT RESOL. (A/8198) URGING THE CONFERENCE OF THE COMMITTEE ON DISARMAMENT (CCD) TO MAKE MORE INTENSIVE EFFORTS TO ACCELERATE ACHIEVEMENT OF MEASURES OF DISARMAMENT AND EXPRESSING APPRECIATION FOR IMPORT AND CONSTRUCTIVE DOCUMENTS"
"1166",1182,"TO ADOPT DRAFT RESOL. (A/8181) REAFFIRMING APPEALS TO THE NUCLEAR-WEAPON STATES TO SIGN AND RATIFY ADDITIONAL PROTOCOL II OF THE TREATY OF TLATELOLCO."
"1167",1183,"TO ADOPT THE DRAFT RESOL. (A/8185) REAFFIRMING UN OBJECTIVES IN KOREA, REQUESTING THE UNCURK TO CONTINUE ITS WORK AND NOTING THAT THE GREATER PART OF UN FORCES HAVE ALREADY WITHDRAWN FROM KOREA."
"1168",1184,"TO ADOPT DRAFT RESOL. (A/8202) RECOMMENDING THAT THE INTERNATIONAL LAW COMMISSION SHOULD, AS A FIRST STEP IN THE CODIFICATION OF RULES OF INTERNATIONAL LAW CONCERNING INTERNATIONAL WATER COURSES, STUDY THE LAW OF NON-NAVIGATIONAL USES OF INTERN"
"1169",1185,"TO ADOPT THE ORAL PROPOSAL FOR A PRIORITY VOTE ON THE SOMALI PROPOSAL THAT DRAFT RESOL. C RECOMMENDED FOR ADOPTION X BY THE SPECIAL POLITICAL COMMITTEE (A/8204/ADD.1) COMES WITHIN THE CATEGORY OF \OTHER QUESTIONS\\ AND REQUIRES ONLY A SIMPLE MA"""
"1170",1186,"TO ADOPT THE SOMALI PROPOSAL THAT DRAFT RESOL. C RECOMMENDED FOR ADOPTION BY THE SPECIAL POLITICAL COMMITTEE (A/8204/ADD. 1) COMES WITHIN THE CATEGORY OF \OTHER QUESTIONS\\ AND REQUIRES ONLY A SIMPLE MAJORITY FOR ADOPTION.\"""""
"1171",1187,"TO ADOPT DRAFT RESOL. C (A/8204/ADD. 1) RECOMMENDED BY THE SPECIAL POLITICAL COMMITTEE; DRAFT RESOL. C RECOGNIZES THAT THE PEOPLE OF PALESTINE ARE ENTITLED TO EQUAL RIGHTS AND SELF-DETERMINATION IN ACCORDANCE WITH THE UN CHARTER AND THAT FULL R"
"1172",1188,"TO ADOPT DRAFT RESOL. D (A/8204/ADD. 1) CONSIDERING THAT THE PLIGHT OF DISPLACED PERSONS CONTINUES IN THE MIDDLE EAST; CALLING ONCE MORE UPON THE GOVERNMENT OF ISRAEL TO IMMEDIATELY TAKE EFFECTIVE STEPS FOR THE RETURN OF THESE DISPLACED PERSONS"
"1173",1189,"TO ADOPT THE DRAFT RESOL (A/8106/ADD.1) REQUESTING THE SECRETARY-GENERAL TO ENSURE THE WIDEST DISSEMINATION OF INFORMATION CONCERNING THE EVILS AND DANGERS OF APARTHEID AND AUTHORIZING THE SECRETARY-GENERAL TO ENCOURAGE AND ASSIST ANTI-APARTHEI"
"1174",1190,"TO ADOPT OPERATIVE PARAG. 3 OF DRAFT RESOL. (A/8106/ADD.1) RE APARTHEID; SAID PARAGRAPH CONDEMNING THE ESTABLISHMENT BY THE GOVERNMENT OF SOUTH AFRICA OF \BANTUSTANS\\ IN SO-CALLED AFRICAN RESERVES AS FRAUDULENT AND A VIOLATION OF THE PRINCIPLE"""
"1175",1191,"TO ADOPT THE DRAFT RESOL. (A/8106/ADD.1) CONDEMNING THE ESTABLISHMENT OF \BANTUSTANS\\ BY THE GOVERNMENT OF SOUTH AFRICA; URGING ALL STATES TO TERMINATE THEIR DIPLOMATIC, MILITARY, ECONOMIC AND OTHER COOPERATION AND TO SUSPEND THEIR CULTURAL, E"""
"1176",1192,"TO ADOPT PREAMBULAR PARAGRAPHS 7 AND 8 OF DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS."
"1177",1193,"TO ADOPT THE LAST PART OF OPERATIVE PARAG. 3 OF THE DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS; THE LAST PART READS: \.... IN SO FAR AS THEY ARE APPLICABLE, IN PARTICULAR, TO WAR CORRESPONDENTS WHO ACCOMPANY ARMED FORC"
"1178",1194,"TO ADOPT THE FOLLOWING WORDS IN OPERATIVE PARAG. 4 OF THE DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS: \...AND PROVIDING, INTER ALIA, FOR THE CREATION OF A UNVIVERSALLY RECOGNIZED AND GUARANTEED IDENTIFICATION DOCUMENT."
"1179",1196,"TO ADOPT OPERATIVE PARAG. 6 OF DRAFT RESOL. (A/8178) ON RESPECT FOR HUMAN RIGHTS IN ARMED CONFLICTS; SAID PARAGRAPH REQUESTS THE SECRETARY-GENERAL, IN CONSULTATION WITH THE INTERNATIONAL COMMITTEE OF THE RED CROSS AND OTHER APPROPRIATE INTERNAT"
"1180",1197,"TO ADOPT DRAFT RESOL. (A/8178) EXPRESSING GRAVE CONCERN OVER THE FATE OF PRESS CORRESPONDENTS IN AREAS OF ARMED CONFLICT; INVITING PARTIES TO CONFLICT TO RESPECT THE GENEVA CONVENTIONS OF 12 AUG. 1949 AND INVITING THE ECOSOC TO REQUEST THE HUMA"
"1181",1198,"TO ADOPT THE DRAFT RESOL. (A/8178) CONDEMNING ACTIONS OF COUNTRIES CONDUCTING AGGRESSIVE WARS IN VIOLATION OF THE UN CHARTER AND THE 1925 GENEVA PROTOCOL AND 1949 GENEVA CONVENTION; RECOGNIZING THE NEED FOR ADDITIONAL INSTRUMENTS FOR THE PROTEC"
"1182",1199,"TO ADOPT THE DRAFT RESOL. (A/8178) CALLING UPON ALL PARTIES TO ARMED CONFLICTS TO COMPLY WITH 1949 GENEVA CONVENTION REGARDING THE TREATMENT OF PRISONERS-OF-WAR; URGING THAT COMBATANTS NOT COVERED BY ARTICLE 4 OF THE 1949 GENEVA CONVENTION BE A"
"1183",1200,"TO ADOPT THE DRAFT RESOL. (A/8186) CONDEMNING THE GOVERNMENT OF SOUTH AFRICA FOR, AND DRAWING THE SECURITY COUNCIL'S ATTENTION TO THE NEED FOR TAKING MEASURES TO DEAL WITH, THAT GOVERNMENT'S PERSISTENT REFUSAL TO WITHDRAW ITS ADMINISTRATION FRO"
"1184",1201,"TO ADOPT THE DRAFT RESOL. (A/8186) DECIDING THAT A COMPREHENSIVE UN FUND FOR NAMIBIA SHOULD BE ESTABLISHED; REQUESTING THE SECRETARY-GENERAL TO MAKE A DETAILED STUDY THEREON AND REPORT TO THE 26TH GENERAL ASSEMBLY SESSION; AUTHORIZING THE SECRE"
"1185",1202,"TO ADOPT THE AMENDMENT REPLACING PREAMBULAR PARAG. 7 OF THE COMMITTEE 2 DRAFT RESOL. ON PERMANENT SOVEREIGNTY OVER NATURAL RESOURCES BY A NEW TEXT (A/L.620 & ADD.1)."
"1186",1203,"TO ADOPT DRAFT RESOL. (A/8213) AUTHORIZING THE SECRETARY-GENERAL TO CARRY OUT IN 1971 ACTIVITIES SPECIFIED IN HIS REPORT (A/8103 & CORR.1) AND TO PROVIDE TRAVEL GRANTS TO CERTAIN PARTICIPANTS FROM THE LESS-DEVELOPED COUNTRIES; THANKING GHANA FO"
"1187",1204,"TO ADOPT DRAFT RESOL. (A/8219) REQUESTING THE SECRETARY-GENERAL TO INVITE MEMBER-STATES TO COMMUNICATE THEIR VIEWS AND SUGGESTIONS CONCERNING A REVIEW OF THE UN CHARTER BY 1 JULY 1972 AND FOR THE SECRETARY-GENERAL TO REPORT THEREON TO THE 27TH"
"1188",1205,"TO ADOPT THE DRAFT RESOL. (A/8243) CONDEMNING THE EXPLOITATION OF COLONIAL TERRITORIES, PARTICULARLY THE CONSTRUCTION OF THE CABORA BASSA PROJECT; REQUESTING ADMINISTERING POWERS TO PUT AN END TO ALL SUCH PRACTICES."
