"","X","short"
"1337",1356,"BUDGET ESTIMATES, 1972"
"1338",1357,"WORLD DISARMAMENT CONFERENCE"
"1339",1358,"DISARMAMENT"
"1340",1359,"DENUCLEARIZATION, LATIN AMERICA"
"1341",1360,"DENUCLEARIZATION, LATIN AMERICA"
"1342",1361,"NUCLEAR WEAPONS, PEACEFUL USES"
"1343",1362,"INDIAN OCEAN, ZONE OF PEACE"
"1344",1363,"DISARMAMENT"
"1345",1364,"CHEMICAL, BIOLOGICAL WEAPONS"
"1346",1365,"NON-NUCLEAR STATES' CONVENTION"
"1347",1366,"DISARMAMENT, NUCLEAR TESTING"
"1348",1367,"DISARMAMENT, NUCLEAR TESTING"
"1349",1368,"DISARMAMENT, NUCLEAR TESTING"
"1350",1369,"KOREA"
"1351",1371,"CREDENTIALS COMMITTEE"
"1352",1372,"MIDDLE EAST"
"1353",1373,"MIDDLE EAST"
"1354",1374,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1355",1375,"UNRWA"
"1356",1376,"UNRWA"
"1357",1377,"UNRWA"
"1358",1378,"OUTER SPACE, PEACEFUL USES"
"1359",1379,"SECURITY COUNCIL"
"1360",1380,"INTERNATIONAL PEACE, SECURITY"
"1361",1381,"SEA BED"
"1362",1382,"SEA BED"
"1363",1384,"SOVEREIGNTY, NATURAL RESOURCES"
"1364",1385,"SOVEREIGNTY, NATURAL RESOURCES"
"1365",1386,"SOVEREIGNTY, NATURAL RESOURCES"
"1366",1387,"SOVEREIGNTY, NATURAL RESOURCES"
"1367",1388,"U.N. POPULATION FUND"
"1368",1389,"UNCTAD, LINER CONFERENCES"
"1369",1390,"UNCTAD, LINER CONFERENCES"
"1370",1391,"UNCTAD, LINER CONFERENCES"
"1371",1392,"UNCTAD, TRADE AGREEMENTS"
"1372",1393,"UNCTAD, TRADE AGREEMENTS"
"1373",1394,"UNCTAD, TRADE AGREEMENTS"
"1374",1395,"UNCTAD, TRADE AGREEMENTS"
"1375",1396,"UNCTAD"
"1376",1397,"UNCTAD"
"1377",1398,"UNCTAD"
"1378",1399,"POVERTY, UNEMPLOYMENT"
"1379",1400,"POVERTY, UNEMPLOYMENT"
"1380",1401,"TRAINED PERSONNEL"
"1381",1402,"UNCTAD, DEVELOPING COUNTRIES"
"1382",1403,"UNCTAD, ECON. DUTIES AND RIGHTS"
"1383",1404,"UNCTAD, PUBLIC OPINION"
"1384",1406,"UNCTAD, EXTERNAL DEBT"
"1385",1407,"RELIGIOUS INTOLERANCE"
"1386",1408,"EDUCATION, HUMAN RIGHTS"
"1387",1409,"HUMAN RIGHTS, ARMED CONFLICTS"
"1388",1410,"HUMAN RIGHTS, ARMED CONFLICTS"
"1389",1411,"HUMAN RIGHTS, ARMED CONFLICTS"
"1390",1413,"INTERNATIONAL TERRORISM"
"1391",1414,"INTERNATIONAL TERRORISM"
"1392",1415,"INTERNATIONAL TERRORISM"
"1393",1416,"INTERNATIONAL TERRORISM"
"1394",1417,"DISASTER ASSISTANCE"
"1395",1418,"EMPLOYMENT OF WOMEN"
"1396",1419,"CAPITAL PUNISHMENT"
"1397",1420,"NARCOTICS CONTROL"
"1398",1421,"NARCOTICS CONTROL"
"1399",1422,"DRUG ABUSE CONTROL"
"1400",1423,"ADOPTION LAW"
"1401",1424,"INDEPENDENCE, COLONIAL COUNTRIES"
"1402",1425,"SELF-DETERMINATION"
"1403",1426,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"1404",1427,"INDEPENDENCE, ECONOMIC IMPEDIMENTS"
"1405",1428,"INDEPENDENCE, COLONIAL COUNTRIES"
"1406",1429,"SPANISH SAHARA"
"1407",1430,"INDEPENDENCE, COLONIAL COUNTRIES"
"1408",1431,"SEYCHELLES"
"1409",1432,"NIUE & TOKELAU ISLANDS"
"1410",1433,"SIX CARIBBEAN COUNTRIES"
"1411",1434,"APARTHEID"
"1412",1435,"SOUTH AFRICA, UN TRUST FUND"
"1413",1436,"APARTHEID"
"1414",1437,"APARTHEID"
"1415",1438,"APARTHEID, BANTUSTANS"
"1416",1439,"APARTHEID"
"1417",1440,"NAMIBIA"
"1418",1441,"NAMIBIA"
"1419",1442,"PORTUGESE TERRITORIES"
"1420",1443,"SOUTHERN RHODESIA"
"1421",1444,"SOUTHERN RHODESIA"
"1422",1445,"U.N. EDUCATIONAL AND TRAINING PROGRAM"
"1423",1446,"PERSONNEL QUESTION"
"1424",1447,"SCALE OF ASSESSMENTS"
"1425",1448,"SCALE OF ASSESSMENTS"
"1426",1449,"SCALE OF ASSESSMENTS"
"1427",1450,"SCALE OF ASSESSMENTS"
"1428",1451,"BUDGET ESTIMATES, 1973"
"1429",1452,"BUDGET ESTIMATES, 1973"
"1430",1453,"BUDGET ESTIMATES, 1973"
"1431",1454,"BUDGET ESTIMATES, 1973"
"1432",1455,"BUDGET ESTIMATES, 1973"
"1433",1456,"BUDGET ESTIMATES, 1973"
"1434",1457,"BUDGET ESTIMATES, 1973"
"1435",1458,"BUDGET ESTIMATES, 1973"
"1436",1459,"BUDGET ESTIMATES, 1973"
"1437",1460,"BUDGET ESTIMATES, 1973"
"1438",1461,"BUDGET ESTIMATES, 1973"
"1439",1462,"BUDGET ESTIMATES, 1973"
"1440",1463,"BUDGET ESTIMATES, 1973"
"1441",1464,"BUDGET ESTIMATES, 1973"
"1442",1465,"INTERNATIONAL LAW COMMISSION"
"1443",1466,"DISARMAMENT"
"1444",1467,"DISARMAMENT"
"1445",1468,"DISARMAMENT"
"1446",1469,"DENUCLEARIZATION, LATIN AMERICA"
"1447",1470,"INDIAN OCEAN, ZONE OF PEACE"
"1448",1471,"CHEMICAL, BIOLOGICAL WEAPONS"
"1449",1472,"DISARMAMENT, NUCLEAR TESTING"
"1450",1473,"DISARMAMENT, NUCLEAR TESTING"
"1451",1474,"ATOMIC RADIATION"
"1452",1475,"ATOMIC RADIATION"
"1453",1476,"ATOMIC RADIATION"
"1454",1477,"ATOMIC RADIATION"
"1455",1478,"CAMBODIA REPRESENTATION"
"1456",1479,"CAMBODIA REPRESENTATION"
"1457",1480,"SOUTH AFRICA, CREDENTIALS"
"1458",1481,"SOUTH AFRICA, CREDENTIALS"
"1459",1482,"PORTUGAL, CREDENTIALS"
"1460",1483,"CAMBODIA, CREDENTIALS"
"1461",1484,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1462",1485,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1463",1486,"UNRWA"
"1464",1487,"UNRWA"
"1465",1488,"UNRWA"
"1466",1489,"UNRWA"
"1467",1490,"SOVEREIGNTY, NATURAL RESOURCES"
"1468",1491,"SOVEREIGNTY, NATURAL RESOURCES"
"1469",1492,"SOVEREIGNTY, NATURAL RESOURCES"
"1470",1493,"SOVEREIGNTY, NATURAL RESOURCES"
"1471",1494,"NATURAL RESOURCES, OCCUPIED TERRITORIES"
"1472",1495,"NATURAL RESOURCES, OCCUPIED TERRITORIES"
"1473",1496,"CAPITAL DEVELOPMENT FUND"
"1474",1497,"UNCTAD"
"1475",1498,"U.N. UNIVERSITY"
"1476",1499,"U.N. UNIVERSITY"
"1477",1500,"S.C. MILITARY BUDGET REDUCTION"
"1478",1501,"S.C. MILITARY BUDGET REDUCTION"
"1479",1502,"U.N. RESOURCE EXPLORATION"
"1480",1503,"LAND-LOCKED DEVELOPMENT"
"1481",1504,"SPECIAL SESSION OF G.A."
"1482",1505,"U.N. ENVIRONMENTAL PROG."
"1483",1506,"HUMAN SETTLEMENTS"
"1484",1507,"CULTURAL VALUES, DEVELOPMENT"
"1485",1508,"HUMAN RIGHTS, SCIENCE, TECHNOLOGY"
"1486",1509,"HUMAN RIGHTS, SCIENCE, TECHNOLOGY"
"1487",1510,"RESTITUTION OF EXPROPRIATED ART"
"1488",1511,"DECLARATION OF HUMAN RIGHTS"
"1489",1512,"WAR CRIMES, INT'NL COOPERATION"
"1490",1513,"WAR CRIMES, INT'NL COOPERATION"
"1491",1514,"WAR CRIMES, INT'NL COOPERATION"
"1492",1515,"WAR CRIMES, INT'NL COOPERATION"
"1493",1516,"HUMAN RIGHTS, ARMED CONFLICTS"
"1494",1517,"HUMAN RIGHTS, ARMED CONFLICTS"
"1495",1519,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"1496",1520,"INDEPENDENCE, COLONIAL COUNTRIES"
"1497",1521,"INDEPENDENCE, COLONIAL COUNTRIES"
"1498",1522,"MILITARY INSTALLATIONS"
"1499",1523,"DECOLOIZATION, INFORMATION"
"1500",1524,"DECOLOIZATION, INFORMATION"
"1501",1525,"INDEPENDENCE, COLONIAL COUNTRIES"
"1502",1526,"NIUE, SELF-DETERMINATION"
"1503",1527,"CARRIBEAN TERRITORIES"
"1504",1528,"SEYCHELLES"
"1505",1529,"BRUNEI, SELF-DETERMINATION"
"1506",1530,"FALKLAND ISLANDS"
"1507",1531,"COMOROS"
"1508",1532,"SPANISH SAHARA"
"1509",1533,"APARTHEID"
"1510",1534,"APARTHEID"
"1511",1535,"APARTHEID"
"1512",1536,"APARTHEID"
"1513",1537,"APARTHEID"
"1514",1538,"APARTHEID"
"1515",1539,"SOUTH AFRICA, TRUST FUND"
"1516",1540,"APARTHEID"
"1517",1541,"APARTHEID"
"1518",1542,"NAMIBIA"
"1519",1543,"NAMIBIA"
"1520",1545,"GUINEA-BISSAU"
"1521",1546,"PORTUGESE TERRITORIES"
"1522",1547,"PORTUGESE TERRITORIES"
"1523",1548,"SOUTHERN RHODESIA"
"1524",1549,"SOUTHERN RHODESIA"
"1525",1550,"PROGRAM, SOUTHERN AFRICA"
"1526",1551,"U.N. EMERGENCY FORCE"
"1527",1552,"PROGRAM BUDGET, 1974-1975"
"1528",1553,"PROGRAM BUDGET, 1974-1975"
"1529",1554,"PROGRAM BUDGET, 1974-1975"
"1530",1555,"PROGRAM BUDGET, 1974-1975"
"1531",1556,"PROGRAM BUDGET, 1974-1975"
"1532",1557,"PROGRAM BUDGET, 1974-1975"
"1533",1558,"PROGRAM BUDGET, 1974-1975"
"1534",1559,"PROGRAM BUDGET, 1974-1975"
"1535",1560,"NAPALM"
"1536",1561,"NAPALM"
"1537",1562,"INDIAN OCEAN, ZONE OF PEACE"
"1538",1563,"DISARMAMENT, GENERAL AND COMPLETE"
"1539",1564,"DISARMAMENT, GENERAL AND COMPLETE"
"1540",1565,"DISARMAMENT, GENERAL AND COMPLETE"
"1541",1566,"DISARMAMENT, GENERAL AND COMPLETE"
"1542",1567,"DISARMAMENT, GENERAL AND COMPLETE"
"1543",1568,"DISARMAMENT, GENERAL AND COMPLETE"
"1544",1569,"DISARMAMENT, GENERAL AND COMPLETE"
"1545",1570,"DISARMAMENT, GENERAL AND COMPLETE"
"1546",1571,"INTERNATIONAL PEACE, SECURITY"
"1547",1572,"DENUCLEARIZATION, LATIN AMERICA"
"1548",1573,"DENUCLEARIZATION, AFRICA"
"1549",1574,"DENUCLEARIZATION, LATIN AMERICA"
"1550",1575,"DENUCLEARIZATION, MIDDLE EAST"
"1551",1576,"DENUCLEARIZATION, MIDDLE EAST"
"1552",1577,"DENUCLEARIZATION, SOUTH ASIA"
"1553",1578,"DENUCLEARIZATION, SOUTH ASIA"
"1554",1579,"IAEA"
"1555",1580,"DISARMAMENT, NUCLEAR TESTING"
"1556",1581,"CAMBODIA REPRESENTATION"
"1557",1582,"CAMBODIA REPRESENTATION"
"1558",1583,"CAMBODIA REPRESENTATION"
"1559",1585,"KOREA"
"1560",1586,"CREDENTIALS COMMITTEE, REPORT"
"1561",1587,"CREDENTIALS COMMITTEE, REPORT"
"1562",1588,"PALESTINE"
"1563",1589,"PLO"
"1564",1590,"PALESTINE"
"1565",1591,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1566",1592,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1567",1593,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1568",1594,"UNRWA"
"1569",1595,"UNRWA"
"1570",1596,"CYPRUS"
"1571",1597,"PEACE AND SECURITY MAINTAINENCE"
"1572",1598,"SOCIAL, ECONOMIC CHANGE"
"1573",1599,"DEVELOPING ISLAND COUNTRIES"
"1574",1600,"NATURAL RESOURCES, OCCUPIED TERRITORIES"
"1575",1601,"NATURAL RESOURCES, OCCUPIED TERRITORIES"
"1576",1602,"S.C. MILITARY BUDGET REDUCTION"
"1577",1603,"ECONOMIC RIGHTS AND DUTIES"
"1578",1604,"ECONOMIC RIGHTS AND DUTIES"
"1579",1605,"ECONOMIC RIGHTS AND DUTIES"
"1580",1606,"PROHIBITION, ENVIRONMENTAL INFLUENCING"
"1581",1607,"HUMAN SETTLEMENTS CONFERENCE"
"1582",1608,"UNCTAD"
"1583",1610,"RELIGIOUS INTOLERANCE"
"1584",1611,"RELIGIOUS INTOLERANCE"
"1585",1612,"SELF-DETERMINATION"
"1586",1613,"CARRIBEAN TERRITORIES"
"1587",1614,"PACIFIC TERRITORIES"
"1588",1615,"SPANISH SAHARA"
"1589",1616,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"1590",1617,"INDEPENDENCE, COLONIAL COUNTRIES"
"1591",1618,"INDEPENDENCE, COLONIAL COUNTRIES"
"1592",1619,"INDEPENDENCE, COLONIAL COUNTRIES"
"1593",1620,"APARTHEID"
"1594",1621,"APARTHEID"
"1595",1622,"APARTHEID"
"1596",1623,"APARTHEID"
"1597",1624,"SOUTH AFRICA, REPRESENTATION"
"1598",1625,"NAMIBIA"
"1599",1626,"SOUTHERN RHODESIA"
"1600",1627,"SOUTHERN RHODESIA"
"1601",1628,"INTERNATIONAL CIVIL SERVICE"
"1602",1629,"SCALE OF ASSESSMENTS"
"1603",1630,"UN SALARY SYSTEM"
"1604",1631,"PROGRAM BUDGET, 1974-1975"
"1605",1632,"PALESTINE"
"1606",1633,"CHARTER REVIEW"
"1607",1634,"CHARTER REVIEW"
"1608",1635,"CHARTER REVIEW"
"1609",1636,"PALESTINE"
"1610",1637,"PALESTINE"
"1611",1638,"CYPRUS"
"1612",1639,"PALESTINE"
"1613",1640,"SELF-DETERMINATION"
"1614",1641,"SELF-DETERMINATION"
"1615",1642,"U.N. CHARTER, IMPLEMENTATION"
"1616",1643,"KOREA"
"1617",1644,"KOREA"
"1618",1645,"S.C. MILITARY BUDGET REDUCTION"
"1619",1646,"DISARMAMENT, NUCLEAR TESTING"
"1620",1647,"DENUCLEARIZATION, LATIN AMERICA"
"1621",1648,"INDIAN OCEAN, ZONE OF PEACE"
"1622",1649,"DENUCLEARIZATION, AFRICA"
"1623",1650,"DISARMAMENT, CONFERENCE"
"1624",1651,"NUCLEAR WEAPON FREE ZONES"
"1625",1652,"DENUCLEARIZATION, LATIN AMERICA"
"1626",1653,"DENUCLEARIZATION, MIDDLE EAST"
"1627",1654,"DENUCLEARIZATION, SOUTH PACIFIC"
"1628",1655,"DISARMAMENT, NUCLEAR TESTING"
"1629",1656,"DISARMAMENT, NUCLEAR TESTING"
"1630",1657,"CESSATION, ARMS RACE"
"1631",1658,"DISARMAMENT, U.N. INVOLVMENT"
"1632",1659,"BILATERAL ARMS NEGOTIATIONS"
"1633",1660,"DISARMAMENT, U.N. INVOLVMENT"
"1634",1661,"DISARMAMENT, REVIEW CONFERENCE"
"1635",1662,"SOUTH AFRICA"
"1636",1663,"APARTHEID, BANTUSTANS"
"1637",1664,"APARTHEID"
"1638",1665,"APARTHEID"
"1639",1666,"PALESTINE, REFUGEES"
"1640",1667,"PALESTINE, REFUGEES"
"1641",1668,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1642",1669,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1643",1670,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1644",1671,"ISRAEL"
"1645",1672,"NEW ECONOMIC ORDER"
"1646",1673,"DISARMAMENT, REPORT"
"1647",1674,"SOUTHERN AFRICA"
"1648",1675,"RACISM, WORLD CONFERENCE"
"1649",1676,"ZIONISM AS RACISM"
"1650",1677,"SOUTHERN AFRICA, RACIST REGIMES"
"1651",1678,"HUMAN RIGHTS, CHILE"
"1652",1679,"CYPRUS, MISSING PERSONS"
"1653",1680,"HUMAN RIGHTS, IMPROVEMENTS"
"1654",1681,"DECLARATION OF MEXICO"
"1655",1682,"DECADE FOR WOMEN"
"1656",1683,"WOMEN'S RIGHTS"
"1657",1684,"SOUTH AFRICA, ARTICLE 25 VIOLATIONS"
"1658",1685,"SELF-DETERMINATION"
"1659",1686,"INDEPENDENCE, SPECIAL COMMITTEE"
"1660",1687,"SELF-DETERMINATION, LEGITIMACY"
"1661",1688,"BRUNEI, SELF-DETERMINATION"
"1662",1689,"U.S. TERRITORIES, SELF-DETERMINATION"
"1663",1690,"BELIZE, SELF-DETERMINATION"
"1664",1691,"U.K. TERRITORIES, SELF-DETERMINATION"
"1665",1692,"SPANISH SAHARA"
"1666",1693,"SAHARAN POPULATIONS"
"1667",1694,"DJIBOUTI, SELF-DETERMINATION"
"1668",1695,"EAST TIMOR, SELF-DETERMINATION"
"1669",1696,"U.N. EMERGENCY FORCE"
"1670",1697,"DISASTER TRUST FUND"
"1671",1698,"BUDGET"
"1672",1699,"U.N. INFORMATION ACTIVITIES"
"1673",1700,"PENSIONS, ICJ"
"1674",1701,"CAPITAL FUND"
"1675",1702,"BUDGET, BIENNIUM 1976-1977"
"1676",1703,"BUDGET, BIENNIUM 1976-1977"
"1677",1704,"BUDGET, BIENNIUM 1976-1977"
"1678",1705,"BUDGET, BIENNIUM 1976-1977"
"1679",1706,"COMOROS, MAYOTTE"
"1680",1707,"APARTHEID, BANTUSTANS"
"1681",1708,"SOUTH AFRICA, CHAPTER VII ACTION"
"1682",1709,"SOUTH AFRICA, ISRAEL"
"1683",1710,"APARTHEID, CONVENTION"
"1684",1711,"APARTHEID, COMMITTEE"
"1685",1712,"SOUTH AFRICA, ECONOMIC ISOLATION"
"1686",1713,"SOUTH AFRICA, LEGITIMACY"
"1687",1714,"SOUTH AFRICA, LEGITIMACY"
"1688",1715,"SOUTH AFRICA, FOREIGN INVESTMENTS"
"1689",1716,"CYPRUS"
"1690",1717,"PALESTINE, RIGHTS COMMITTEE"
"1691",1718,"ADMISSION VIETNAM"
"1692",1719,"ADMISSION ANGOLA"
"1693",1720,"MIDDLE EAST PEACE"
"1694",1721,"MIDDLE EAST PEACE"
"1695",1722,"SOUTHERN AFRICA, RACIST REGIMES"
"1696",1723,"DECOLONIZATION, SPECIAL COMMITTEE"
"1697",1724,"PROHIBITION, USE OF FORCE"
"1698",1725,"NUCLEAR TESTS, CONDEMNATION"
"1699",1726,"DENUCLEARIZATION, LATIN AMERICA"
"1700",1727,"DENUCLEARIZATION, LATIN AMERICA"
"1701",1728,"DENUCLEARIZATION, MIDDLE EAST"
"1702",1729,"ENVIRONMENTAL TECHNIQUES"
"1703",1730,"DENUCLEARIZATION, SOUTH ASIA"
"1704",1731,"DISARMAMENT, WEAPONS OF MASS-DESTRUCTION"
"1705",1732,"DISARMAMENT, ARMS RACE"
"1706",1733,"S.C. MILITARY BUDGET REDUCTION"
"1707",1734,"INDIAN OCEAN, ZONE OF PEACE"
"1708",1735,"DISARMAMENT, NUCLEAR TESTING"
"1709",1736,"STATE-SPONSORED MERCENARIES"
"1710",1737,"SOVEREIGNTY, NATURAL RESOURCES"
"1711",1738,"BILATERAL ARMS NEGOTIATIONS"
"1712",1739,"NUCLEAR FREE ZONES"
"1713",1740,"NUCLEAR WEAPONS, PEACEFUL USES"
"1714",1741,"PALESTINE, REFUGEES"
"1715",1742,"PALESTINE, REFUGEES"
"1716",1743,"ISRAEL, SETTLEMENTS"
"1717",1744,"ISRAEL, GENEVA CONVENTION"
"1718",1745,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1719",1746,"ISRAEL, QUNEITRA"
"1720",1747,"INTERNATIONAL ECONOMIC COOPERATION"
"1721",1748,"PALESTINE, LIVING CONDITIONS"
"1722",1749,"LAND-LOCKED COUNTRIES"
"1723",1750,"NEW ECONOMIC ORDER"
"1724",1751,"INDUSTRIAL DEVELOPMENT"
"1725",1752,"INTERNATIONAL DEVELOPMENT"
"1726",1753,"LAND-LOCKED COUNTRIES"
"1727",1754,"NEW ECONOMIC ORDER"
"1728",1755,"PALESTINE, NATURAL RESOURCES"
"1729",1756,"SOUTH AFRICA, ECONOMIC ISOLATION"
"1730",1757,"SOUTHERN AFRICA, NATO"
"1731",1758,"APARTHEID"
"1732",1759,"RACISM, WORLD CONFERENCE"
"1733",1760,"APARTHEID, REPORT"
"1734",1761,"DEVELOPMENT SOVEREIGNTY"
"1735",1762,"HUMAN RIGHTS, CHILE"
"1736",1763,"AFFECTS OF TECHNOLOGY"
"1737",1764,"SELF-DETERMINATION, IMPEDEMENTS"
"1738",1765,"INDEPENDENCE, IMPLEMENTATION"
"1739",1766,"INDEPENDENCE, IMPLEMENTATION"
"1740",1767,"FALKLAND ISLANDS"
"1741",1768,"BELIZE, SELF-DETERMINATION"
"1742",1769,"EAST TIMOR, SELF-DETERMINATION"
"1743",1770,"BRUNEI, SELF-DETERMINATION"
"1744",1771,"GUAM, SELF-DETERMINATION"
"1745",1772,"DJIBOUTI, SELF-DETERMINATION"
"1746",1773,"NAMIBIA, SELF-DETERMINATION"
"1747",1774,"NAMIBIA, SELF-DETERMINATION"
"1748",1775,"NAMIBIA, ICJ"
"1749",1776,"NAMIBIA, ASSISTANCE"
"1750",1777,"NAMIBIA, INFORMATION"
"1751",1778,"NAMIBIA"
"1752",1779,"CHARTER VIOLATIONS"
"1753",1780,"U.N. EMERGENCY FORCE"
"1754",1781,"U.N. EMERGENCY FORCE"
"1755",1782,"DISENGAGEMENT OBSERVER FORCE"
"1756",1783,"BUDGET, ASSESSMENT RATES"
"1757",1784,"INTERNATIONAL CIVIL SERVICE"
"1758",1785,"BUDGET, U.N. HEADQUARTERS"
"1759",1786,"INVESTMENTS COMMITTEE"
"1760",1787,"SALARIES, ICJ"
"1761",1788,"BUDGET, UNCTAD"
"1762",1789,"BUDGET"
"1763",1790,"BUDGET"
"1764",1791,"BUDGET, 1977"
"1765",1792,"U.N. YEARBOOK"
"1766",1793,"DATA PROCESSING"
"1767",1794,"VIENNA CONVENTION"
"1768",1795,"ISRAEL, LEGAL VALIDITY OF ACTIONS"
"1769",1796,"COMOROS, MAYOTTE"
"1770",1797,"NAMIBIA, OFFICIAL MAP"
"1771",1798,"SOUTH AFRICA, NAMIBIA"
"1772",1799,"NAMIBIA, NATIONHOOD PROGRAM"
"1773",1800,"NAMIBIA"
"1774",1801,"NAMIBIA, RESOLUTION COMPLIANCE"
"1775",1802,"NAMIBIA, REPRESSION"
"1776",1803,"CYPRUS"
"1777",1804,"ISRAEL, OCCUPIED TERRITORIES"
"1778",1805,"PALESTINE, COMMITTEE"
"1779",1806,"PALESTINE, RIGHTS COMMITTEE"
"1780",1807,"SELF-DETERMINATION"
"1781",1808,"ANTI-APARTHEID YEAR"
"1782",1809,"APARTHEID, TRADE UNION CONFERENCE"
"1783",1810,"SOUTH AFRICA, ISRAEL"
"1784",1811,"SOUTH AFRICA, ECONOMIC ISOLATION"
"1785",1812,"SOUTH AFRICA, SANCTIONS"
"1786",1813,"APARTHEID, INFORMATION"
"1787",1814,"APARTHEID"
"1788",1815,"SOUTH AFRICA, INALIENABLE RIGHTS"
"1789",1816,"SOUTH AFRICA, RACIST REGIME"
"1790",1817,"APARTHEID, LAGOS DECLARATION"
"1791",1818,"APARTHEID, SPORTS"
"1792",1819,"APARTHEID, BANTUSTANS"
"1793",1820,"SOUTH AFRICA, FOREIGN INVESTMENTS"
"1794",1821,"DENUCLEARIZATION, LATIN AMERICA"
"1795",1822,"DISARMAMENT, NUCLEAR TESTING"
"1796",1823,"DENUCLEARIZATION, LATIN AMERICA"
"1797",1824,"DISARMAMENT, COMMITTEE"
"1798",1825,"DENUCLEARIZATION, SOUTH AFRICA"
"1799",1826,"DENUCLEARIZATION, MIDDLE EAST"
"1800",1827,"DENUCLEARIZATION, SOUTH ASIA"
"1801",1828,"DISARMAMENT, NUCLEAR DEVELOPMENT"
"1802",1829,"DISARMAMENT, NUCLEAR DEVELOPMENT"
"1803",1830,"DISARMAMENT, MILITARY BUDGETS"
"1804",1831,"INDIAN OCEAN, ZONE OF PEACE"
"1805",1832,"SECURITY, NON-NUCLEAR STATES"
"1806",1833,"DISARMAMENT, SUGGESTIONS"
"1807",1834,"DISARMAMENT, ARMS RACE"
"1808",1835,"DISARMAMENT, ARMS RACE"
"1809",1836,"CONVENTIONAL WEAPONS"
"1810",1837,"INTERFERENCE, INTERNAL AFFAIRS"
"1811",1838,"U.N. PURPOSES, IMPLEMENTATION"
"1812",1839,"OUTER SPACE, PEACEFUL USES"
"1813",1840,"PALESTINE, REFUGEES"
"1814",1841,"PALESTINE, REFUGEES"
"1815",1842,"PALESTINE, REFUGEES"
"1816",1843,"ISRAEL, GENEVA CONVENTION"
"1817",1844,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1818",1845,"HUMAN RIGHTS, OCCUPIED TERRITORIES"
"1819",1846,"LAND-LOCKED COUNTRIES"
"1820",1847,"TECHNOLOGY CONFERENCE"
"1821",1848,"WATER CONFERENCE"
"1822",1849,"PALESTINE, ECONOMIC EFFECTS"
"1823",1850,"HUMAN SETTLEMENTS"
"1824",1851,"PALESTINE, LIVING CONDITIONS"
"1825",1852,"LAND-LOCKED COUNTRIES"
"1826",1853,"U.N. AND COMMODITIES"
"1827",1854,"APARTHEID, SUPPRESSION"
"1828",1855,"RACIAL DISCRIMINATION, REPORT"
"1829",1856,"SELF-DETERMINATION"
"1830",1857,"HUMAN RIGHTS, CHILE"
"1831",1858,"FREEDOM FIGHTERS"
"1832",1859,"DRUG ABUSE CONTROL"
"1833",1860,"DRUG ABUSE CONTROL"
"1834",1861,"DRUG TRAFFIC"
"1835",1862,"RACISM, CONFERENCE IN GHANA"
"1836",1863,"HUMAN RIGHTS, FUTURE APPROACH"
"1837",1864,"WOMEN'S RIGHTS"
"1838",1865,"BRUNEI, SELF-DETERMINATION"
"1839",1866,"BELIZE, SELF-DETERMINATION"
"1840",1867,"INDEPENDENCE, IMPLEMENTATION"
"1841",1868,"EAST TIMOR, SELF-DETERMINATION"
"1842",1869,"SOVEREIGNTY, NATURAL RESOURCES"
"1843",1870,"INDEPENDENCE"
"1844",1871,"ZIMBABWE, SELF-DETERMINATION"
"1845",1872,"U.N. EMERGENCY FORCE"
"1846",1873,"DISENGAGEMENT OBSERVER FORCE"
"1847",1874,"SCALE OF ASSESSMENTS"
"1848",1875,"FIRST CLASS TRAVEL REPORT"
"1849",1876,"INTERNATIONAL CIVIL SERVICE"
"1850",1877,"FINAL BUDGET, 1976-1977"
"1851",1878,"BUDGET REPORT"
"1852",1879,"ARABIC LANGUAGE SERVICES"
"1853",1880,"U.N ACCOMMODATIONS, NAIROBI"
"1854",1881,"BUDGET PROPOSALS"
"1855",1882,"U.N. HEADQUATERS, IMPROVEMENTS"
"1856",1883,"U.N. HONORARIA MEMBERS"
"1857",1884,"BUDGET, BIENNIUM 1978-1979"
"1858",1885,"BUDGET, 1978"
"1859",1886,"BUDGET, BIENNIUM 1978-1979"
"1860",1887,"BUDGET, WORKING CAPITAL FUND"
"1861",1888,"STAFF REGULATIONS"
"1862",1889,"BUDGET, BIENNIUM 1978-1979"
"1863",1890,"BUDGET REPORT"
"1864",1891,"INTERNATIONAL TERRORISM"
"1865",1892,"NON-USE OF FORCE, COMMITTEE"
"1866",1893,"CYPRUS"
"1867",1894,"LAW OF THE SEA"
"1868",1895,"PLO PARTICIPATION"
"1869",1896,"PALESTINE, INALIENABLE RIGHTS"
"1870",1897,"PALESTINE, INALIENABLE RIGHTS"
"1871",1898,"PALESTINE, CONFLICT RESOLUTION"
